Model,MPG,Weight
2003 Nissan Pathfinder SE 4X2 Current,16,3.871
2003 Nissan Murano SL 2WD Current,20,3.801
2004 Nissan Quest 3.5 S Current,19,4.012
2003 Nissan Truck Frontier 4X2 KC-I4 Standard Model Current,22,3.271
2003 Oldsmobile Aurora 4.0L Sedan Current,17,3.803
2004 Oldsmobile Alero GX Sedan Current,24,2.996
2004 Oldsmobile Bravada 2-Wheel Drive Current,16,4.417
2004 Oldsmobile Silhouette GL Current,19,3.948
2003 Panoz Esperante Convertible Current,17,3.2
2003 Pontiac Bonneville SE Sedan Current,20,3.633
2004 Pontiac Sunfire Coupe Current,26,2.771
2004 Pontiac Vibe Base Current,29,2.74
2004 Pontiac Grand Am SE Sedan Current,26,3.066
2004 Pontiac Aztek Front-Wheel Drive Current,19,3.779
2004 Pontiac Montana Regular Wheelbase 1SA Current,19,3.803
2003 Porsche Boxster Convertible Current,20,2.8735
2003 Porsche 911 Carrera Coupe Current,18,3.0195
2004 Rolls-Royce Phantom Sedan Current,14,5.577
2003 Saab 9-5 Sedan Linear 2.3t Current,22,3.5
2003 Saturn ION 1 Sedan Current,26,2.6905
2003 Saturn L-Series Sedan L200 Current,23,3.011
2003 Saturn VUE FWD 4 Current,23,3.193
2003 Subaru Legacy L Sedan Current,21,3.2575
2004 Subaru Impreza 2.5 TS Sport Wagon Current,21,3.0725
2004 Subaru Outback Sport Current,21,3.0775
2004 Subaru Forester 2.5 X Current,21,3.1125
2003 Suzuki Aerio Sedan S Current,26,2.6635
2003 Suzuki Vitara Two-Door Two-Wheel Drive Current,23,2.6955
2003 Suzuki Grand Vitara Two-Wheel Drive Current,19,3.075
2003 Suzuki XL-7 Touring 2WD Current,18,3.552
2003 Toyota ECHO 2-Door Sedan Current,35,2.06
2003 Toyota Celica GT Current,27,2.4425
2003 Toyota Camry LE Current,23,3.114
2003 Toyota MR-2 Spyder Convertible Current,26,2.195
2003 Toyota Avalon XL Current,21,3.417
2004 Toyota Corolla CE Current,32,2.535
2004 Toyota Matrix Standard 4X2 Current,29,2.7175
2003 Toyota RAV4 4-Door 4X2 Current,25,2.744
2003 Toyota Highlander Sport Utility 4X2 Current,22,3.485
2003 Toyota 4Runner SR5 4X2 Current,18,4.025
2003 Toyota Sequoia SR5 4X2 Current,14,5.07
2003 Toyota Land Cruiser 4X4 Current,13,5.39
2003 Toyota Sienna CE Current,19,3.919
2003 Toyota Truck Tacoma 4X2 Regular Cab Current,22,2.76
2003 Volkswagen Golf GL 2.0 Current,24,2.7985
2003 Volkswagen New Beetle GL 2.0L Current,24,2.839
