Calendar Date,Date,Sony Change,Market Change,Dow Change,Small-Big,High-Low
3/31/2005,2005.16667,6.0075,-1.9037,-2.6479007,-1.37,1.71
4/29/2005,2005.25,-8.4809,-2.7282,-3.1732246,-3.95,-0.49
5/31/2005,2005.33333,1.2855,3.5516,2.45776532,3.01,-1.16
6/30/2005,2005.41667,-7.8232,0.9231,-2.0691246,2.58,2.84
7/29/2005,2005.5,-5.844,4.0931,3.32147025,2.77,-0.47
8/31/2005,2005.58333,3.1143,-0.8943,-1.7971464,-0.88,1.44
9/30/2005,2005.66667,-1.233,0.7709,0.54098,-0.65,1.23
10/31/2005,2005.75,-1.4451,-2.3484,-1.4870844,-1.05,-0.74
11/30/2005,2005.83333,12.5254,3.7306,3.19380792,0.99,-1.75
12/30/2005,2005.91667,9.9205,0.0276,-1.1377963,-0.47,0.51
1/31/2006,2006,19.5029,3.6612,1.02494752,5.33,1.18
2/28/2006,2006.08333,-4.4709,-0.5044,0.84317217,-0.31,-0.76
3/31/2006,2006.16667,-1.8706,1.536,0.68435893,3.51,0.04
4/28/2006,2006.25,5.8696,0.9368,1.96075411,-1.22,3.07
5/31/2006,2006.33333,-8.1333,-3.5342,-2.1791647,-3,2.75
6/30/2006,2006.41667,-2.9017,-0.4396,-0.5619762,-0.47,1.51
7/31/2006,2006.5,4.0278,-0.5902,-0.0819794,-3.9,3.25
8/31/2006,2006.58333,-6.0299,2.0885,1.32750216,0.8,-1.66
9/29/2006,2006.66667,-7.1905,1.5352,2.20766166,-1.21,-0.49
10/31/2006,2006.75,1.1262,3.2986,3.0291437,1.68,0.49
11/30/2006,2006.83333,-4.2511,1.9516,0.74880354,0.7,0.39
12/29/2006,2006.91667,8.278,0.6823,1.57366537,-0.93,2.56
1/31/2007,2007,7.7318,1.5038,0.83207006,0.02,0
2/28/2007,2007.08333,11.2755,-1.7798,-3.1772482,1.38,0.32
3/30/2007,2007.16667,-2.6212,0.8649,0.26869252,-0.2,0.31
4/30/2007,2007.25,5.0462,3.5493,5.29530781,-2.06,-1.08
5/31/2007,2007.33333,7.9265,3.4794,3.91315617,-0.05,-0.23
6/29/2007,2007.41667,-11.3705,-1.8758,-2.0071748,0.69,-1.07
7/31/2007,2007.5,2.2669,-3.5753,-1.8664447,-2.74,-3.01
8/31/2007,2007.58333,-9.8246,0.7423,0.68316463,-0.09,-2.42
9/28/2007,2007.66667,0.4919,3.7703,3.70680394,-2.47,-2.1
10/31/2007,2007.75,2.593,2.2642,-0.0725841,0.07,-1.97
11/30/2007,2007.83333,8.7785,-5.2679,-4.347822,-2.72,-0.88
12/31/2007,2007.91667,0.3414,-0.7042,-1.0694484,0.06,-0.02
1/31/2008,2008,-12.733,-6.4405,-4.8422528,-0.76,3.13
2/29/2008,2008.08333,-0.7405,-2.334,-3.1652496,-0.67,0.04
3/31/2008,2008.16667,-15.0414,-1.217,-0.1985333,0.87,0.26
4/30/2008,2008.25,14.105,4.9444,4.37411644,-1.6,0.08
5/30/2008,2008.33333,9.8759,2.2125,-1.5881603,2.8,-0.3
6/30/2008,2008.41667,-13.3671,-8.0325,-10.363681,0.91,-0.93
7/31/2008,2008.5,-14.0275,-1.465,0.09678392,3.89,3.57
8/29/2008,2008.58333,1.287,0.9842,1.33482254,3.66,1.65
9/30/2008,2008.66667,-18.6051,-9.956,-6.1523996,-0.2,4.37
10/31/2008,2008.75,-24.7966,-18.5526,-14.140435,-2.05,-3.14
11/28/2008,2008.83333,-16.6293,-8.5406,-5.3387074,-3.46,-5.09
12/31/2008,2008.91667,12.7583,2.0582,-0.6863276,4.04,-1.2
